trading_date,bdi_code,trading_code,market_type,company_name,specification,term_days,currency,opening_price,max_price,min_price,avg_price,last_price,best_buy_offer,best_sell_offer,total_trades,total_quantity,total_volume,exercise_price,correction_indicator,expiration_date,quotation_factor,exercise_points,isin_code,distribution_number
2014-01-02,02,PETR4,010,PETROBRAS,PN,,R$,17.15,17.20,16.65,16.87,16.75,16.74,16.75,35584,000000000017284800,291684421.00,0.00,0,9999-12-31,0000001,0000000000000,BRPETRACNPR6,183
2014-01-03,02,PETR4,010,PETROBRAS,PN,,R$,16.74,16.78,16.42,16.54,16.42,16.42,16.43,20265,000000000017837600,295038188.00,0.00,0,9999-12-31,0000001,0000000000000,BRPETRACNPR6,183
2014-01-06,02,PETR4,010,PETROBRAS,PN,,R$,16.45,16.64,16.16,16.42,16.62,16.60,16.62,27249,000000000020526500,337127621.00,0.00,0,9999-12-31,0000001,0000000000000,BRPETRACNPR6,183
2014-01-07,02,PETR4,010,PETROBRAS,PN,,R$,16.65,16.83,16.16,16.48,16.16,16.16,16.19,29083,000000000019052500,314019662.00,0.00,0,9999-12-31,0000001,0000000000000,BRPETRACNPR6,183
2014-01-08,02,PETR4,010,PETROBRAS,PN,,R$,16.27,16.39,16.15,16.25,16.19,16.19,16.20,20665,000000000015874600,258052487.00,0.00,0,9999-12-31,0000001,0000000000000,BRPETRACNPR6,183
2014-01-09,02,PETR4,010,PETROBRAS,PN,,R$,16.19,16.29,15.65,15.90,15.70,15.69,15.70,24262,000000000025871700,411513711.00,0.00,0,9999-12-31,0000001,0000000000000,BRPETRACNPR6,183
2014-01-10,02,PETR4,010,PETROBRAS,PN,,R$,15.76,16.30,15.66,16.02,15.97,15.97,16.00,26212,000000000030221300,484151073.00,0.00,0,9999-12-31,0000001,0000000000000,BRPETRACNPR6,183
2014-01-13,02,PETR4,010,PETROBRAS,PN,,R$,16.01,16.11,15.66,15.85,15.77,15.75,15.77,21284,000000000021660900,343272246.00,0.00,0,9999-12-31,0000001,0000000000000,BRPETRACNPR6,183
2014-01-14,02,PETR4,010,PETROBRAS,PN,,R$,15.71,15.87,15.62,15.72,15.70,15.69,15.70,20240,000000000016339200,257003278.00,0.00,0,9999-12-31,0000001,0000000000000,BRPETRACNPR6,183
2014-01-15,02,PETR4,010,PETROBRAS,PN,,R$,15.79,16.15,15.69,15.93,16.04,16.03,16.04,23651,000000000025748600,410296996.00,0.00,0,9999-12-31,0000001,0000000000000,BRPETRACNPR6,183
2014-01-16,02,PETR4,010,PETROBRAS,PN,,R$,16.04,16.19,15.57,15.81,15.59,15.59,15.60,40443,000000000032946000,520904189.00,0.00,0,9999-12-31,0000001,0000000000000,BRPETRACNPR6,183
2014-01-17,02,PETR4,010,PETROBRAS,PN,,R$,15.72,15.77,15.45,15.60,15.51,15.51,15.52,18920,000000000022865900,356829249.00,0.00,0,9999-12-31,0000001,0000000000000,BRPETRACNPR6,183
2014-01-20,02,PETR4,010,PETROBRAS,PN,,R$,15.45,15.61,15.15,15.32,15.18,15.17,15.18,18555,000000000017725000,271636073.00,0.00,0,9999-12-31,0000001,0000000000000,BRPETRACNPR6,183
2014-01-21,02,PETR4,010,PETROBRAS,PN,,R$,15.22,15.50,15.20,15.35,15.34,15.34,15.35,18230,000000000019893400,305394269.00,0.00,0,9999-12-31,0000001,0000000000000,BRPETRACNPR6,183
2014-01-22,02,PETR4,010,PETROBRAS,PN,,R$,15.42,15.87,15.27,15.73,15.84,15.81,15.84,24616,000000000044870600,706040262.00,0.00,0,9999-12-31,0000001,0000000000000,BRPETRACNPR6,183
2014-01-23,02,PETR4,010,PETROBRAS,PN,,R$,15.67,15.91,15.47,15.62,15.47,15.47,15.51,26597,000000000024150400,377368787.00,0.00,0,9999-12-31,0000001,0000000000000,BRPETRACNPR6,183
2014-01-24,02,PETR4,010,PETROBRAS,PN,,R$,15.38,15.44,14.98,15.15,15.10,15.10,15.12,30674,000000000027964100,423867488.00,0.00,0,9999-12-31,0000001,0000000000000,BRPETRACNPR6,183
2014-01-27,02,PETR4,010,PETROBRAS,PN,,R$,15.21,15.29,15.04,15.15,15.11,15.11,15.12,30102,000000000020818700,315551067.00,0.00,0,9999-12-31,0000001,0000000000000,BRPETRACNPR6,183
2014-01-28,02,PETR4,010,PETROBRAS,PN,,R$,15.36,15.44,15.02,15.18,15.05,15.05,15.06,30104,000000000022373700,339775698.00,0.00,0,9999-12-31,0000001,0000000000000,BRPETRACNPR6,183
2014-01-29,02,PETR4,010,PETROBRAS,PN,,R$,15.06,15.14,14.77,14.89,14.80,14.79,14.80,29182,000000000025561100,380679134.00,0.00,0,9999-12-31,0000001,0000000000000,BRPETRACNPR6,183
2014-01-30,02,PETR4,010,PETROBRAS,PN,,R$,14.88,15.10,14.63,14.84,14.70,14.68,14.70,29817,000000000025607800,380025148.00,0.00,0,9999-12-31,0000001,0000000000000,BRPETRACNPR6,183
